CustomerID,PurchaseDate,PurchaseAmount,ProductID,Quantity,ProductName,Category,Price,TotalPrice
236c1726-f428-4cad-b08e-5692ddf72fca,2023-02-03,174.38,5,2,Apple Watch Series 7,Wearable,399.0,798.0
e07e0b1b-7e5c-4f95-830c-9cb4aadd5bac,2022-09-07,103.11,6,4,iMac,Desktop,1299.0,5196.0
31f5377c-5ca9-4fa4-859d-600fb1fc9806,2020-09-22,94.19,1,3,iPhone 13 Pro Max,Smartphone,1099.0,3297.0
b1397855-2e83-40c7-a859-1c0a460845ad,2021-07-08,112.13,4,2,AirPods Pro,Headphones,249.0,498.0
3ae067bf-1c7d-4f1e-ba02-270689a79876,2024-01-21,15.54,4,4,AirPods Pro,Headphones,249.0,996.0
e07e0b1b-7e5c-4f95-830c-9cb4aadd5bac,2020-03-26,95.62,4,4,AirPods Pro,Headphones,249.0,996.0
236c1726-f428-4cad-b08e-5692ddf72fca,2020-08-01,191.07,2,1,iPad Pro,Tablet,799.0,799.0
e07e0b1b-7e5c-4f95-830c-9cb4aadd5bac,2020-03-13,155.92,4,3,AirPods Pro,Headphones,249.0,747.0
c43948c4-8fab-481d-9e63-3479c0c1ec11,2022-10-14,193.3,6,4,iMac,Desktop,1299.0,5196.0
31f5377c-5ca9-4fa4-859d-600fb1fc9806,2022-11-05,46.53,3,4,MacBook Air,Laptop,999.0,3996.0
c43948c4-8fab-481d-9e63-3479c0c1ec11,2021-04-06,106.22,5,3,Apple Watch Series 7,Wearable,399.0,1197.0
3ae067bf-1c7d-4f1e-ba02-270689a79876,2023-08-24,125.64,7,3,HomePod mini,Smart Speaker,99.0,297.0
4ababcb0-1fa7-4bdc-9381-88ef0c4e53b9,2021-12-18,90.78,1,2,iPhone 13 Pro Max,Smartphone,1099.0,2198.0
b1397855-2e83-40c7-a859-1c0a460845ad,2022-06-02,56.08,1,1,iPhone 13 Pro Max,Smartphone,1099.0,1099.0
56d050a9-1eeb-4e20-9c25-43a1d4f7491e,2022-09-05,158.62,5,1,Apple Watch Series 7,Wearable,399.0,399.0
4ababcb0-1fa7-4bdc-9381-88ef0c4e53b9,2021-09-13,59.04,3,2,MacBook Air,Laptop,999.0,1998.0
31f5377c-5ca9-4fa4-859d-600fb1fc9806,2024-05-19,86.84,2,4,iPad Pro,Tablet,799.0,3196.0
31f5377c-5ca9-4fa4-859d-600fb1fc9806,2021-04-11,82.44,7,4,HomePod mini,Smart Speaker,99.0,396.0
c43948c4-8fab-481d-9e63-3479c0c1ec11,2020-02-13,34.85,7,3,HomePod mini,Smart Speaker,99.0,297.0
3ae067bf-1c7d-4f1e-ba02-270689a79876,2020-04-23,130.37,1,1,iPhone 13 Pro Max,Smartphone,1099.0,1099.0
c43948c4-8fab-481d-9e63-3479c0c1ec11,2020-02-23,156.38,2,4,iPad Pro,Tablet,799.0,3196.0
662ee3a3-220a-4442-9ffd-0fc44ce59372,2024-05-03,73.94,6,1,iMac,Desktop,1299.0,1299.0
